====================================================================================================
ICML 2023 论文统计分析汇总报告
====================================================================================================

【一、论文类别统计】
====================================================================================================
总论文数: 1863
总类别数: 1

排名     类别                                                 数量         占比        
----------------------------------------------------------------------------------------------------
1                                                         1863       100.00%


【二、论文机构统计】
====================================================================================================
统计模式: 所有机构
总论文数: 1863
总机构数: 765

排名     机构名称                                                                   论文数        占比        
----------------------------------------------------------------------------------------------------
192    University of California, Davis                                        4            0.21%
193    Beijing Institute of Technology                                        4            0.21%
194    Valence Labs                                                           4            0.21%
195    University of Notre Dame                                               4            0.21%
196    Weizmann Institute of Science                                          4            0.21%
197    Hong Kong Baptist University                                           4            0.21%
198    LG                                                                     4            0.21%
199    ENSAE ParisTech                                                        4            0.21%
200    State University of New York                                           4            0.21%
201    Indian Institute of Technology Delhi                                   4            0.21%
202    Yandex                                                                 4            0.21%
203    Southeast University                                                   4            0.21%
204    Kyoto University                                                       4            0.21%
205    KRAFTON Inc.                                                           4            0.21%
206    Shandong University                                                    4            0.21%
207    University of California, Riverside                                    4            0.21%
208    Xi'an Jiao Tong University                                             3            0.16%
209    University of Vienna                                                   3            0.16%
210    Queen Mary University of London                                        3            0.16%
211    Shanxi University                                                      3            0.16%
212    HEC Montreal                                                           3            0.16%
213    University of Tübingen                                                 3            0.16%
214    University of Liverpool                                                3            0.16%
215    London School of Economics and Political Science                       3            0.16%
216    Nankai University                                                      3            0.16%
217    Vector Institute                                                       3            0.16%
218    University of Luxembourg                                               3            0.16%
219    OMRON Corporation                                                      3            0.16%
220    Shanghai University of Finance and Economics                           3            0.16%
221    University of Stuttgart                                                3            0.16%
222    Sea Group                                                              3            0.16%
223    Shanghai AI Laboratory                                                 3            0.16%
224    NEC Corporation                                                        3            0.16%
225    University of Colorado                                                 3            0.16%
226    Qiyuan Lab                                                             3            0.16%
227    Institute of High Performance Computing                                3            0.16%
228    A*STAR                                                                 3            0.16%
229    NEC Laboratories                                                       3            0.16%
230    Skolkovo Institute of Science and Technology                           3            0.16%
231    Zhejiang Lab                                                           3            0.16%
232    University of North Carolina at Chapel Hill                            3            0.16%
233    University of Central Florida                                          3            0.16%
234    Université d'Angers                                                    3            0.16%
235    Emory University                                                       3            0.16%
236    Chalmers University of Technology                                      3            0.16%
237    Allen Institute for Artificial Intelligence                            3            0.16%
238    Beijing Jiao Tong University                                           3            0.16%
239    Technische Universität Darmstadt                                       3            0.16%
240    ServiceNow                                                             3            0.16%
241    Vrije Universiteit Brussel                                             3            0.16%
242    CentraleSupélec                                                        3            0.16%
243    University of Rome La Sapienza                                         3            0.16%
244    Sony                                                                   3            0.16%
245    Institute of Science and Technology Austria                            3            0.16%
246    Heidelberg University                                                  3            0.16%
247    Capital One                                                            3            0.16%
248    Deakin University                                                      3            0.16%
249    Ben Gurion University of the Negev                                     3            0.16%
250    International Business Machines                                        3            0.16%
251    Broad Institute                                                        3            0.16%
252    Max Planck Institute for Software Systems                              3            0.16%
253    Genentech                                                              3            0.16%
254    ASAPP Inc.                                                             3            0.16%
255    University of Trento                                                   3            0.16%
256    Université de Nice-Sophia Antipolis                                    3            0.16%
257    Zalando SE                                                             3            0.16%
258    University of Iowa                                                     3            0.16%
259    Bocconi University                                                     3            0.16%
260    Université Grenoble Alpes                                              3            0.16%
261    University of Illinois                                                 3            0.16%
262    RWTH Aachen University                                                 3            0.16%
263    Criteo                                                                 3            0.16%
264    Waseda University                                                      2            0.11%
265    Vanderbilt University                                                  2            0.11%
266    University of Newcastle                                                2            0.11%
267    Universität Konstanz                                                   2            0.11%
268    University of Basel                                                    2            0.11%
269    Dartmouth College                                                      2            0.11%
270    Technology Innovation Institute                                        2            0.11%
271    Chongqing University                                                   2            0.11%
272    INRAE                                                                  2            0.11%
273    Aarhus University                                                      2            0.11%
274    Hunan University                                                       2            0.11%
275    Queen's University Belfast                                             2            0.11%
276    FAR.AI                                                                 2            0.11%
277    EleutherAI                                                             2            0.11%
278    University of Sussex                                                   2            0.11%
279    Beijing University of Posts and Telecommunications                     2            0.11%
280    Guangdong University of Technology                                     2            0.11%
281    Electronics and Telecommunications Research Institute                  2            0.11%
282    State University of New York at Binghamton                             2            0.11%
283    Ludwig Maximilian University of Munich                                 2            0.11%
284    Stevens Institute of Technology                                        2            0.11%
285    University of Surrey                                                   2            0.11%
286    Dataheroes                                                             2            0.11%
287    Dalian University of Technology                                        2            0.11%
288    Northwestern Polytechnical University                                  2            0.11%
289    NavInfo Europe                                                         2            0.11%
290    Oak Ridge National Laboratory                                          2            0.11%
291    Singapore Management University                                        2            0.11%
292    University of Arizona                                                  2            0.11%
293    Shanghai AI Lab                                                        2            0.11%
294    Université Pierre et Marie Curie - Paris 6                             2            0.11%
295    Concordia University                                                   2            0.11%
296    University of Helsinki                                                 2            0.11%
297    Washington University in St. Louis                                     2            0.11%
298    Lehigh University                                                      2            0.11%
299    University of Bologna                                                  2            0.11%
300    ESSEC Business School                                                  2            0.11%
301    Indian Institute of Technology Bombay                                  2            0.11%
302    Technion – Israel Institute of Technology                              2            0.11%
303    University of Georgia                                                  2            0.11%
304    NEC Labs America                                                       2            0.11%
305    Robert Bosch GmbH                                                      2            0.11%
306    Rheinland-Pfalz Technical University                                   2            0.11%
307    University of Florida                                                  2            0.11%
308    Tongji University                                                      2            0.11%
309    ThirdAI Corp.                                                          2            0.11%
310    University of Milan                                                    2            0.11%
311    University of Copenhagen                                               2            0.11%
312    MediaTek Inc.                                                          2            0.11%
313    MedaiTek                                                               2            0.11%
314    Griffith University                                                    2            0.11%
315    University of Macau                                                    2            0.11%
316    South China University of Technology                                   2            0.11%
317    Huazhong Agricultural University                                       2            0.11%
318    GlaxoSmithKline                                                        2            0.11%
319    Auburn University                                                      2            0.11%
320    University of Alabama at Birmingham                                    2            0.11%
321    École de technologie supérieure                                        2            0.11%
322    University of Greenwich                                                2            0.11%
323    Nanjing University of Science and Technology                           2            0.11%
324    Verily                                                                 2            0.11%
325    VMware, Inc.                                                           2            0.11%
326    University of Haifa                                                    2            0.11%
327    Chongqing University of Post and Telecommunications                    2            0.11%
328    Technische Universität Wien                                            2            0.11%
329    Institute for Infocomm Research                                        2            0.11%
330    RelationalAI                                                           2            0.11%
331    Pontificia Universidad Catolica de Chile                               2            0.11%
332    Institute of Numerical Mathematics                                     2            0.11%
333    Sony Group Corporation                                                 2            0.11%
334    Tokyo Institute of Technology                                          2            0.11%
335    University of New South Wales                                          2            0.11%
336    Ruprecht-Karls-Universität Heidelberg                                  2            0.11%
337    Kumo.AI                                                                2            0.11%
338    University of Pisa                                                     2            0.11%
339    Bosch                                                                  2            0.11%
340    East China Normal University                                           2            0.11%
341    Universitat Pompeu Fabra                                               2            0.11%
342    Moscow Institute of Physics and Technology                             2            0.11%
343    University of Adelaide                                                 2            0.11%
344    Télécom ParisTech                                                      2            0.11%
345    Radboud University                                                     2            0.11%
346    Korea Institute for Advanced Study                                     2            0.11%
347    Institute for Advanced Study                                           2            0.11%
348    Roche                                                                  2            0.11%
349    University of Modena and Reggio Emilia                                 2            0.11%
350    AT&T                                                                   2            0.11%
351    Montreal Institute of Learning Algorithms                              2            0.11%
352    Université catholique de Louvain                                       2            0.11%
353    KDDI Research                                                          2            0.11%
354    Brandeis University                                                    2            0.11%
355    University of Chicago Booth School of Business                         2            0.11%
356    Shanghai Qi Zhi Institute                                              2            0.11%
357    Babylon Health                                                         2            0.11%
358    Lawrence Livermore National Laboratory                                 2            0.11%
359    Unknown Institution                                                    2            0.11%
360    Commonwealth Scientific and Industrial Research Organisation           2            0.11%
361    Ghent University                                                       2            0.11%
362    University of Bremen                                                   2            0.11%
363    Beijing Normal University                                              2            0.11%
