====================================================================================================
AAAI 2023 论文统计分析汇总报告
====================================================================================================

【一、论文类别统计】
====================================================================================================
总论文数: 1578
总类别数: 21

排名     类别                                                 数量         占比        
209    University of California, Riverside                                    4            0.25%
210    University of California, Santa Barbara                                4            0.25%
211    Tokyo Institute of Technology                                          4            0.25%
212    University of York                                                     4            0.25%
213    University of Leeds                                                    3            0.19%
214    University at Buffalo                                                  3            0.19%
215    Anhui University                                                       3            0.19%
216    Donghai Laboratory                                                     3            0.19%
217    Ocean University of China                                              3            0.19%
218    LG                                                                     3            0.19%
219    University of South Carolina                                           3            0.19%
220    Ulsan National Institute of Science and Technology                     3            0.19%
221    Shanghai Key Laboratory of Intelligent Information Processing          3            0.19%
222    ByteDance Ltd                                                          3            0.19%
223    University of Western Australia                                        3            0.19%
224    Inha University                                                        3            0.19%
225    Virginia Tech                                                          3            0.19%
226    Stony Brook University                                                 3            0.19%
227    Wormpex AI Research                                                    3            0.19%
228    Institute of Computing Technology                                      3            0.19%
229    SmartMore                                                              3            0.19%
230    Max Planck Institute for Informatics                                   3            0.19%
231    National Institute of Informatics                                      3            0.19%
232    Bytedance Inc.                                                         3            0.19%
233    University of Liverpool                                                3            0.19%
234    College of William & Mary                                              3            0.19%
235    Case Western Reserve University                                        3            0.19%
236    Wuhan University of Technology                                         3            0.19%
237    Toyota Motor Corporation                                               3            0.19%
238    Kyushu University                                                      3            0.19%
239    NTT Corporation                                                        3            0.19%
240    Utrecht University                                                     3            0.19%
241    University of Wisconsin–Madison                                        3            0.19%
242    Griffith University                                                    3            0.19%
243    POSTECH                                                                3            0.19%
244    East China University of Science and Technology                        3            0.19%
245    Beijing Institute of Computer Technology and Application               3            0.19%
246    Southwest University                                                   3            0.19%
247    Engineering Research Center of Knowledge-Driven Human-Machine Intelligence 3            0.19%
248    CIFAR                                                                  3            0.19%
249    Toyota Technological Institute at Chicago                              3            0.19%
250    University of Science and Technology Beijing                           3            0.19%
251    Binghamton University                                                  3            0.19%
252    University of Zurich                                                   3            0.19%
253    Aarhus University                                                      3            0.19%
254    Technische Universität Wien                                            3            0.19%
255    Technical University of Vienna                                         3            0.19%
256    University of British Columbia                                         3            0.19%
257    Télécom Paris                                                          3            0.19%
258    Free University of Bozen-Bolzano                                       3            0.19%
259    Graz University of Technology                                          3            0.19%
260    Arizona State University                                               3            0.19%
261    Eindhoven University of Technology                                     3            0.19%
262    University of Ottawa                                                   3            0.19%
263    University of Georgia                                                  3            0.19%
264    University of Minnesota                                                3            0.19%
265    Engineering Research Center of Intelligent Technology for Agriculture  3            0.19%
266    Key Laboratory of Smart Farming for Agricultural Animals               3            0.19%
267    Indian Institute of Technology Bombay                                  3            0.19%
268    Salesforce                                                             3            0.19%
269    Tel Aviv University                                                    3            0.19%
270    New Jersey Institute of Technology                                     3            0.19%
271    Sea AI Lab                                                             3            0.19%
272    University of Oregon                                                   3            0.19%
273    University of Bologna                                                  3            0.19%
274    Pacific Northwest National Laboratory                                  3            0.19%
275    Emory University                                                       3            0.19%
276    Vrije Universiteit Amsterdam                                           2            0.13%
277    Delft University of Technology                                         2            0.13%
278    Queen's University                                                     2            0.13%
279    University of Birmingham                                               2            0.13%
280    University of Nottingham Ningbo China                                  2            0.13%
281    Intel                                                                  2            0.13%
282    Chongqing University of Posts and Telecommunications                   2            0.13%
283    Clemson University                                                     2            0.13%
284    King's College London                                                  2            0.13%
285    Purple Mountain Laboratories                                           2            0.13%
286    Lenovo Research                                                        2            0.13%
287    Korea Institute of Science and Technology                              2            0.13%
288    Queen Mary University of London                                        2            0.13%
289    Ludwig Maximilian University of Munich                                 2            0.13%
290    KU Leuven                                                              2            0.13%
291    Guangxi University                                                     2            0.13%
292    Wayne State University                                                 2            0.13%
293    National Tsing Hua University                                          2            0.13%
294    DeepBlue Academy of Sciences                                           2            0.13%
295    National Laboratory of Pattern Recognition                             2            0.13%
296    Beijing Institute for General AI                                       2            0.13%
297    Coupang                                                                2            0.13%
298    Hebrew University of Jerusalem                                         2            0.13%
299    AIRIA                                                                  2            0.13%
300    Aerospace Information Research Institute                               2            0.13%
301    NetEase Games                                                          2            0.13%
302    Shanghai Qi Zhi Institute                                              2            0.13%
303    SK Telecom                                                             2            0.13%
304    International Digital Economy Academy                                  2            0.13%
305    Jiangsu University                                                     2            0.13%
306    Shandong Jianzhu University                                            2            0.13%
307    Inceptio                                                               2            0.13%
308    Duke Kunshan University                                                2            0.13%
309    Gwangju Institute of Science and Technology                            2            0.13%
310    China University of Mining and Technology                              2            0.13%
311    TuSimple                                                               2            0.13%
312    PhiGent Robotics                                                       2            0.13%
313    MYbank                                                                 2            0.13%
314    Hong Kong Institute of Science & Innovation, Chinese Academy of Sciences 2            0.13%
315    PCA Lab                                                                2            0.13%
316    Jiangsu Key Lab of Image and Video Understanding for Social Security   2            0.13%
317    JD.com Inc.                                                            2            0.13%
318    Jiangnan University                                                    2            0.13%
319    Université Côte d’Azur                                                 2            0.13%
320    Yuan Ze University                                                     2            0.13%
321    Inceptio Technology                                                    2            0.13%
322    Electronics and Telecommunications Research Institute                  2            0.13%
323    University of Science and Technology                                   2            0.13%
324    Bilibili Inc.                                                          2            0.13%
325    China University of Petroleum (East China)                             2            0.13%
326    Kyoto University                                                       2            0.13%
327    University of Nebraska-Lincoln                                         2            0.13%
328    Institut de Recherche en Informatique de Toulouse                      2            0.13%
329    Ben Gurion University of the Negev                                     2            0.13%
330    University of Toulouse                                                 2            0.13%
331    Guangdong University of Foreign Studies                                2            0.13%
332    Beijing Big Data Centre                                                2            0.13%
333    Shandong Normal University                                             2            0.13%
334    FinVolution Group                                                      2            0.13%
335    Sichuan Artificial Intelligence Research Institute                     2            0.13%
336    Pinterest                                                              2            0.13%
337    Guangdong Provincial Key Laboratory of Novel Security Intelligence Technologies 2            0.13%
338    University of Montreal                                                 2            0.13%
339    University of Mannheim                                                 2            0.13%
340    Old Dominion University                                                2            0.13%
341    North China Electric Power University                                  2            0.13%
342    Mila - Quebec AI Institute                                             2            0.13%
343    Université de Montréal                                                 2            0.13%
344    HEC Montréal                                                           2            0.13%
345    iFLYTEK Co., Ltd.                                                      2            0.13%
346    Nanjing University of Information Science & Technology                 2            0.13%
347    University of Auckland                                                 2            0.13%
348    Cambricon Technologies                                                 2            0.13%
349    University of Greenwich                                                2            0.13%
350    Vanderbilt University                                                  2            0.13%
351    Southwestern University of Finance and Economics                       2            0.13%
352    University of New South Wales                                          2            0.13%
353    Institute of Science and Technology Austria                            2            0.13%
354    CNRS                                                                   2            0.13%
355    University of Calabria                                                 2            0.13%
356    Ca’ Foscari University of Venice                                       2            0.13%
357    Institute for Infocomm Research                                        2            0.13%
358    AGH University of Science and Technology                               2            0.13%
359    University of Rochester                                                2            0.13%
360    NTT Data Science Laboratories                                          2            0.13%
361    Tianjin AiForward Science and Technology Co., Ltd.                     2            0.13%
362    Karlsruhe Institute of Technology                                      2            0.13%
363    Stevens Institute of Technology                                        2            0.13%
364    University of Utah                                                     2            0.13%
365    University of Helsinki                                                 2            0.13%
366    University of London                                                   2            0.13%
367    National Institute of Advanced Industrial Science and Technology       2            0.13%
368    University of Klagenfurt                                               2            0.13%
369    University of Hagen                                                    2            0.13%
370    Stockholm University                                                   2            0.13%
371    TU Dortmund University                                                 2            0.13%
372    Université Paris-Saclay                                                2            0.13%
373    Penn State University                                                  2            0.13%
374    University of South Australia                                          2            0.13%
375    Indian Institute of Technology Madras                                  2            0.13%
376    New York University Shanghai                                           2            0.13%
377    RWTH Aachen University                                                 2            0.13%
378    University of the Sunshine Coast                                       2            0.13%
379    Bielefeld University                                                   2            0.13%
380    NCSOFT                                                                 2            0.13%
381    Munich Center for Machine Learning                                     2            0.13%
382    Quebec AI Institute                                                    2            0.13%
383    Washington State University                                            2            0.13%
384    Czech Technical University                                             2            0.13%
385    University of California, Merced                                       2            0.13%
386    Shandong National Center for Applied Mathematics                       2            0.13%
387    Washington University in St. Louis                                     2            0.13%
388    JP Morgan AI Research                                                  2            0.13%
389    Macquarie University                                                   2            0.13%
390    University of Milano-Bicocca                                           2            0.13%
391    University of Lille                                                    2            0.13%
392    University of Texas at Dallas                                          2            0.13%
393    University of Massachusetts Boston                                     2            0.13%
394    University of North Carolina at Chapel Hill                            2            0.13%
395    Shenzhen Research Institute of Big Data                                2            0.13%
396    CATL                                                                   2            0.13%
397    CSIRO                                                                  2            0.13%
398    NA VI MedTech Co., Ltd.                                                2            0.13%
399    Ping An Property & Casualty Insurance Company                          2            0.13%
400    Macau University of Science and Technology                             2            0.13%
401    University of Passau                                                   2            0.13%
402    Jeonbuk National University                                            2            0.13%
403    Kyungpook National University                                          2            0.13%
404    Tampere University                                                     2            0.13%
405    University of Stuttgart                                                2            0.13%
406    York University                                                        2            0.13%
407    DeepMind                                                               2            0.13%
408    Ben-Gurion University                                                  2            0.13%
409    Guangdong Key Laboratory of Big Data Analysis and Processing           2            0.13%
410    Indraprastha Institute of Information Technology                       2            0.13%
411    Indian Institute of Technology Delhi                                   2            0.13%
412    University of Oklahoma                                                 2            0.13%
413    RIKEN                                                                  2            0.13%
414    Louisiana State University                                             2            0.13%
415    Nanjing University of Information Science and Technology               2            0.13%
416    Simon Fraser University                                                2            0.13%
417    AAAI Conference on Artificial Intelligence                             2            0.13%
418    Beijing University of Technology                                       2            0.13%
419    Commonwealth Scientific and Industrial Research Organisation           2            0.13%
420    Ping An Technology                                                     2            0.13%
421    Technion – Israel Institute of Technology                              2            0.13%
422    Alberta Machine Intelligence Institute                                 2            0.13%
423    University at Albany – SUNY                                            2            0.13%
424    Engineering Research Center of Ministry of Education                   2            0.13%
425    LMU Munich                                                             2            0.13%
426    Fondazione Bruno Kessler                                               2            0.13%
427    Yokohama National University                                           2            0.13%
428    Xiaomi Corporation                                                     2            0.13%
429    NiuTrans Research                                                      2            0.13%
430    NAVER Cloud                                                            2            0.13%
431    Fordham University                                                     1            0.06%
432    Royal Holloway University of London                                    1            0.06%
433    Indraprastha Institute of Information Technology, Delhi                1            0.06%
434    NEC Laboratories America, Inc.                                         1            0.06%
435    FocusMedia                                                             1            0.06%
436    Hanbat National University                                             1            0.06%
437    SI Analytics                                                           1            0.06%
438    Shanghai AI Lab                                                        1            0.06%
439    Ritsumeikan University                                                 1            0.06%
440    Middle East Technical University                                       1            0.06%
441    Meituan Inc.                                                           1            0.06%
442    Eastern Institute for Advanced Study                                   1            0.06%
443    Daegu Gyeongbuk Institute of Science and Technology                    1            0.06%
444    LinkedIn Corporation                                                   1            0.06%
445    Yale-NUS College                                                       1            0.06%
446    Shantou University                                                     1            0.06%
447    Northeast Forestry University                                          1            0.06%
448    Zhejiang Leapmotor Technology CO., LTD.                                1            0.06%
449    OPPO Research Institute                                                1            0.06%
450    Zhejiang Gongshang University                                          1            0.06%
451    Zhejiang Key Lab of E-Commerce                                         1            0.06%
452    University of Glasgow                                                  1            0.06%
453    Terminus Group                                                         1            0.06%
454    Shenyang Aerospace University                                          1            0.06%
455    Aibee Inc.                                                             1            0.06%
456    Alibaba Cloud Computing                                                1            0.06%
457    MCML                                                                   1            0.06%
458    Great Bay University                                                   1            0.06%
459    University of California, Santa Cruz                                   1            0.06%
460    AI                                                                     1            0.06%
461    Korean Advanced Institute of Science and Technology                    1            0.06%
462    National Engineering Research Center for Big Data Technology and System 1            0.06%
463    Hubei Engineering Research Center on Big Data Security                 1            0.06%
464    Hubei Key Laboratory of Distributed System Security                    1            0.06%
465    Services Computing Technology and System Lab                           1            0.06%
466    Cluster and Grid Computing Lab                                         1            0.06%
467    Qualcomm                                                               1            0.06%
468    African Institute for Mathematical Sciences                            1            0.06%
469    United Imaging Intelligence                                            1            0.06%
470    Zhejiang Laboratory                                                    1            0.06%
471    Shanghai Collaborative Innovation Center on Intelligent Visual Computing 1            0.06%
472    National Cheng Kung University                                         1            0.06%
473    SK hynix Inc.                                                          1            0.06%
474    BirenTech Research                                                     1            0.06%
475    ByteDance Inc                                                          1            0.06%
476    Apple                                                                  1            0.06%
477    Agency for Science, Technology, and Research                           1            0.06%
478    Macao Polytechnic University                                           1            0.06%
479    Guangxi University of Science and Technology                           1            0.06%
480    Copyright Protection Center of China                                   1            0.06%
481    Henan Institute of Science and Technology                              1            0.06%
482    HiSilicon Technologies                                                 1            0.06%
483    Airdoc LLC                                                             1            0.06%
484    Anhui University of Technology                                         1            0.06%
485    Guangxi Academy of Sciences                                            1            0.06%
486    Beijing Forestry University                                            1            0.06%
487    Beijing Rongda Technology Co., Ltd.                                    1            0.06%
488    Key Laboratory of Measurement and Control of Complex Systems of Engineering 1            0.06%
489    Shanghai Institute of Microsystem and Information Technology           1            0.06%
490    La Trobe University                                                    1            0.06%
491    Minnan Normal University                                               1            0.06%
492    University of Lincoln                                                  1            0.06%
493    Sabanci University                                                     1            0.06%
494    University of Nigeria                                                  1            0.06%
495    Sogang University                                                      1            0.06%
496    Pukyong National University                                            1            0.06%
497    Shandong University of Science and Technology                          1            0.06%
498    South China Agricultural University                                    1            0.06%
499    iFLYTEK                                                                1            0.06%
500    AInnovation Labs Inc.                                                  1            0.06%
501    Shanghai Frontiers Science Center                                      1            0.06%
502    Protagolabs                                                            1            0.06%
