====================================================================================================
IJCAI 2025 论文统计分析汇总报告
====================================================================================================

【一、论文类别统计】
====================================================================================================
总论文数: 790
总类别数: 15

排名     类别                                                 数量         占比        
246    University of International Business and Economics                     2            0.25%
247    Sorbonne University                                                    2            0.25%
248    Institut Universitaire de France                                       2            0.25%
249    RIKEN                                                                  2            0.25%
250    Rochester Institute of Technology                                      2            0.25%
251    Key Laboratory of Symbolic Computation and Knowledge Engineering       2            0.25%
252    Lanzhou University                                                     2            0.25%
253    Northwest A&F University                                               2            0.25%
254    Wuhan University of Science and Technology                             2            0.25%
255    Max Planck Institute for Software Systems                              2            0.25%
256    Kyoto University                                                       2            0.25%
257    Sony                                                                   2            0.25%
258    Artificial Intelligence Research Institute                             2            0.25%
259    Skolkovo Institute of Science and Technology                           2            0.25%
260    Engineering Research Center of Machine Learning and Industry Intelligence 2            0.25%
261    University of Stuttgart                                                2            0.25%
262    Southwestern University of Finance and Economics                       2            0.25%
263    Iowa State University                                                  2            0.25%
264    Shantou University                                                     2            0.25%
265    China University of Petroleum                                          2            0.25%
266    University of Western Australia                                        2            0.25%
267    University of Sheffield                                                2            0.25%
268    Radboud University                                                     2            0.25%
269    Ruhr-University Bochum                                                 2            0.25%
270    Yunnan University of Finance and Economics                             1            0.13%
271    Center for Excellence in Brain Science and Intelligence Technology     1            0.13%
272    Indian Institute of Technology Bombay                                  1            0.13%
273    Lancaster University Leipzig                                           1            0.13%
274    New Jersey Institute of Technology                                     1            0.13%
275    Heriot-Watt University                                                 1            0.13%
276    University of Manchester                                               1            0.13%
277    University of Lyon                                                     1            0.13%
278    University of Bejaia                                                   1            0.13%
279    TCG Centres for Research and Education in Science and Technology       1            0.13%
280    University of Limassol                                                 1            0.13%
281    University of Kent                                                     1            0.13%
282    Brigham Young University                                               1            0.13%
283    Indian Institute of Science                                            1            0.13%
284    Chennai Mathematical Institute                                         1            0.13%
285    University of Nottingham                                               1            0.13%
286    University of Aberdeen                                                 1            0.13%
287    Lancaster University                                                   1            0.13%
288    Yunnan Key Laboratory of Media Convergence                             1            0.13%
289    University of California, Santa Barbara                                1            0.13%
290    University of Zurich                                                   1            0.13%
291    University of Illinois at Chicago                                      1            0.13%
292    Nanjing University of Posts and Telecommunications                     1            0.13%
293    University of Warwick                                                  1            0.13%
294    Université Libre de Bruxelles                                          1            0.13%
295    Vrije Universiteit Brussel                                             1            0.13%
296    University of Cologne                                                  1            0.13%
297    SenseTime Research                                                     1            0.13%
298    Air Force Engineering University                                       1            0.13%
299    JP Morgan AI Research                                                  1            0.13%
300    Lockheed Martin                                                        1            0.13%
301    Yangzhou University                                                    1            0.13%
302    University of Southern Queensland                                      1            0.13%
303    Florida International University                                       1            0.13%
304    University of Alicante                                                 1            0.13%
305    Ningbo Donghai Group                                                   1            0.13%
306    University of Tennessee                                                1            0.13%
307    Northwestern University                                                1            0.13%
308    University of Chicago                                                  1            0.13%
309    Toyota Technological Institute at Chicago                              1            0.13%
310    University of Exeter                                                   1            0.13%
311    University of Augsburg                                                 1            0.13%
312    Fraunhofer Heinrich Hertz Institute                                    1            0.13%
313    Amherst College                                                        1            0.13%
314    University of Lleida                                                   1            0.13%
315    State Key Laboratory of General Artificial Intelligence                1            0.13%
316    Xi'an Jiao Tong-Liverpool University                                   1            0.13%
317    Yichang Testing Technique R&D Institute                                1            0.13%
318    Public Health Clinical Center of Chengdu                               1            0.13%
319    CRRC Qingdao Sifang Rolling Stock Research Institute                   1            0.13%
320    Pazhou Laboratory                                                      1            0.13%
321    Deep Space Exploration Lab                                             1            0.13%
322    Sangfor Technologies                                                   1            0.13%
323    PhiGent Robotics                                                       1            0.13%
324    Eastern Institute of Technology                                        1            0.13%
325    National Engineering Laboratory for Integrated Aero-Space-Ground-Ocean 1            0.13%
326    Megvii Technology                                                      1            0.13%
327    Dongguk University                                                     1            0.13%
328    Case Western Reserve University                                        1            0.13%
329    Zuoyebang                                                              1            0.13%
330    China Three Gorges University                                          1            0.13%
331    China West Normal University                                           1            0.13%
332    Beijing Open University                                                1            0.13%
333    China University of Geosciences                                        1            0.13%
334    Cluster and Grid Computing Lab                                         1            0.13%
335    Guangdong Province Engineering Laboratory for Digital Creative Technology 1            0.13%
336    Shenzhen Key Laboratory of Digital Creative Technology                 1            0.13%
337    United Imaging Intelligence                                            1            0.13%
338    Wuzhou University                                                      1            0.13%
339    Capital Normal University                                              1            0.13%
340    Dublin City University                                                 1            0.13%
341    Concordia University                                                   1            0.13%
342    Liaoning Technical University                                          1            0.13%
343    Swiss Data Science Center                                              1            0.13%
344    Robert Bosch LLC                                                       1            0.13%
345    Singapore University of Technology and Design                          1            0.13%
346    University of Alabama at Birmingham                                    1            0.13%
347    Indiana University                                                     1            0.13%
348    St. Cloud State University                                             1            0.13%
349    Hubei Key Laboratory of Multimedia and Network Communication Engineering 1            0.13%
350    Institute for Infocomm Research                                        1            0.13%
351    Wenzhou University                                                     1            0.13%
352    Guangdong Provincial Key Laboratory of Fire Science and Intelligent Emergency Technology 1            0.13%
353    Suzhou Xiangji Technology Service Co., Ltd.                            1            0.13%
354    Shanghai Center for Brain Science and Brain-Inspired Technology        1            0.13%
355    Beijing Electronic Science and Technology Institute                    1            0.13%
356    Beijing Key Laboratory of Traffic Data Analysis and Mining             1            0.13%
357    TCL Communication                                                      1            0.13%
358    Temple University                                                      1            0.13%
359    Fordham University                                                     1            0.13%
360    Chonnam National University                                            1            0.13%
361    Dalian Polytechnic University                                          1            0.13%
362    FinVolution Group                                                      1            0.13%
363    Katholieke Universiteit Leuven                                         1            0.13%
364    Deeproute Inc.                                                         1            0.13%
365    Wuhan Institute of Technology                                          1            0.13%
366    Hangzhou City University                                               1            0.13%
367    University College London                                              1            0.13%
368    Shenzhen Technology University                                         1            0.13%
369    Didi Chuxing                                                           1            0.13%
370    Beijing Key Lab of Traffic Data Analysis and Mining                    1            0.13%
371    Hebei University of Science and Technology                             1            0.13%
372    Chinese PLA General Hospital                                           1            0.13%
373    Foxconn Technology Group                                               1            0.13%
374    University of the West of England                                      1            0.13%
375    Guangdong University of Foreign Studies                                1            0.13%
376    Upstage AI                                                             1            0.13%
377    Yunnan Cancer Hospital                                                 1            0.13%
378    Macau University of Science and Technology                             1            0.13%
379    Mashang Consumer Finance                                               1            0.13%
380    Computer Vision Center                                                 1            0.13%
381    Intelligent Game and Decision Lab                                      1            0.13%
382    Tianjin Artificial Intelligence Innovation Center                      1            0.13%
383    Beijing Institute of Basic Medical Sciences                            1            0.13%
384    China Telecom                                                          1            0.13%
385    Shanghai Development Center of Computer Software Technology            1            0.13%
386    Shanghai Collaborative Innovation Center of Intelligent Visual Computing 1            0.13%
387    OPPO                                                                   1            0.13%
388    1QB Information Technologies                                           1            0.13%
389    JKU Linz                                                               1            0.13%
390    University of Haifa                                                    1            0.13%
391    Dataheroes                                                             1            0.13%
392    Hamburg University of Technology                                       1            0.13%
393    HUN-REN Centre for Economic and Regional Studies                       1            0.13%
394    University of North Texas                                              1            0.13%
395    Phenikaa University                                                    1            0.13%
396    Ho Chi Minh City University of Industry and Trade                      1            0.13%
397    National Taiwan University                                             1            0.13%
398    University of Göttingen                                                1            0.13%
399    Loughborough University                                                1            0.13%
400    Université Côte d’Azur                                                 1            0.13%
401    Stockholm University                                                   1            0.13%
402    University of Picardie Jules Verne                                     1            0.13%
403    Linkoping University                                                   1            0.13%
404    University Mohammed VI Polytechnic                                     1            0.13%
405    Mississippi State University                                           1            0.13%
406    Beijing Baixingkefu Network Technology Co., Ltd.                       1            0.13%
407    Inner Mongolia University of Science and Technology                    1            0.13%
408    University of International Relations                                  1            0.13%
409    Minnan Normal University                                               1            0.13%
410    Anhui Province Key Laboratory of Industry Safety and Emergency Technology 1            0.13%
411    Yunnan Key Laboratory of Service Computing                             1            0.13%
412    Qufu Normal University                                                 1            0.13%
413    University of Massachusetts Boston                                     1            0.13%
414    Yantai University                                                      1            0.13%
415    University of Tsukuba                                                  1            0.13%
416    Ningbo Beilun Third Container Terminal Co., Ltd                        1            0.13%
417    Zhiyuan Research Institute                                             1            0.13%
418    Georgia Tech Shenzhen Institute                                        1            0.13%
419    Du Xiaoman Financial Technology                                        1            0.13%
420    Heilongjiang University                                                1            0.13%
421    Changchun Institute of Optics, Fine Mechanics and Physics              1            0.13%
422    China Agricultural University                                          1            0.13%
423    Nanjing University of Finance & Economics                              1            0.13%
424    George Washington University                                           1            0.13%
425    Zhongguancun Lab                                                       1            0.13%
426    Stevens Institute of Technology                                        1            0.13%
427    Huiyan Technology (Tianjin) Co., Ltd                                   1            0.13%
428    Guangxi Key Lab of Multisource Information Mining Security             1            0.13%
429    NEC Laboratories America                                               1            0.13%
430    Jianghan University                                                    1            0.13%
431    Aalborg University                                                     1            0.13%
432    Charles University                                                     1            0.13%
433    Shandong Research Institute of Industrial Technology                   1            0.13%
434    AI                                                                     1            0.13%
435    Boeing Korea Engineering and Technology Center                         1            0.13%
436    Ulsan National Institute of Science and Technology                     1            0.13%
437    INEEJI                                                                 1            0.13%
438    University of Wisconsin-Madison                                        1            0.13%
439    NukkAI                                                                 1            0.13%
440    Normandie University                                                   1            0.13%
441    Universitée Paris Dauphine - PSL                                       1            0.13%
442    College of the Holy Cross                                              1            0.13%
443    Eotvos Lorand University                                               1            0.13%
444    University of Glasgow                                                  1            0.13%
445    Coupang                                                                1            0.13%
446    University of Twente                                                   1            0.13%
447    University of Warsaw                                                   1            0.13%
448    University of Bath                                                     1            0.13%
449    Pennsylvania State University                                          1            0.13%
450    Drexel University                                                      1            0.13%
451    Yale University                                                        1            0.13%
452    Shanghai University of Finance and Economics                           1            0.13%
453    Columbia University                                                    1            0.13%
454    Jagiellonian University                                                1            0.13%
455    Archimedes                                                             1            0.13%
456    Aristotle University of Thessaloniki                                   1            0.13%
457    Athens University of Economics and Business                            1            0.13%
458    Tata Consultancy Services                                              1            0.13%
459    International Institute of Information Technology, Hyderabad           1            0.13%
460    Tata Institute of Fundamental Research                                 1            0.13%
461    Institut Mines Telecom Atlantique                                      1            0.13%
462    Eötvös Loránd University                                               1            0.13%
463    University at Buffalo                                                  1            0.13%
464    University of Washington                                               1            0.13%
465    University of Oregon                                                   1            0.13%
466    Indian Institute of Technology Delhi                                   1            0.13%
467    Heinrich-Heine-Universität Düsseldorf                                  1            0.13%
468    Royal Holloway University of London                                    1            0.13%
469    University of Toronto Scarborough                                      1            0.13%
470    Jianghuai Advance Technology Center                                    1            0.13%
471    Ping An Technology                                                     1            0.13%
472    PAII Inc.                                                              1            0.13%
473    Center for Long-term Artificial Intelligence                           1            0.13%
474    Central China Normal University                                        1            0.13%
475    University of Rennes                                                   1            0.13%
476    University of Kassel                                                   1            0.13%
477    Gran Sasso Science Institute                                           1            0.13%
478    National and Kapodistrian University of Athens                         1            0.13%
479    NCSR Demokritos                                                        1            0.13%
480    University of Piraeus                                                  1            0.13%
481    University of Southampton                                              1            0.13%
482    Technical University of Vienna                                         1            0.13%
483    Mines Saint-Etienne                                                    1            0.13%
484    Mastercard                                                             1            0.13%
485    Università degli Studi di Roma “La Sapienza”                           1            0.13%
486    University of Bergamo                                                  1            0.13%
487    Linköping University                                                   1            0.13%
488    TU Dortmund University                                                 1            0.13%
489    CNRS - Institut de Recherche en Informatique de Toulouse               1            0.13%
490    Université Toulouse 3                                                  1            0.13%
491    Tampere University                                                     1            0.13%
492    Graz University of Technology                                          1            0.13%
493    University of Udine                                                    1            0.13%
494    Shanghai Business School                                               1            0.13%
495    Learnable.AI Inc.                                                      1            0.13%
496    A*STAR                                                                 1            0.13%
497    Univ Artois                                                            1            0.13%
498    Toulouse University                                                    1            0.13%
499    Allen Institute for AI                                                 1            0.13%
500    Pazhou Lab                                                             1            0.13%
501    University of Oslo                                                     1            0.13%
502    University of Hagen                                                    1            0.13%
503    Arabian Gulf University                                                1            0.13%
504    Ecole Polytechnique                                                    1            0.13%
505    Leibniz Universit¨at Hannover                                          1            0.13%
506    Jönköping University                                                   1            0.13%
507    University of Nottingham Ningbo China                                  1            0.13%
508    Cixi Institute of Biomedical Engineering                               1            0.13%
509    Shenzhen Institute of Advanced Technology                              1            0.13%
510    Open Universiteit                                                      1            0.13%
511    University of Cape Town                                                1            0.13%
512    Tel-Aviv Academic College                                              1            0.13%
513    Technische Universität Ilmenau                                         1            0.13%
514    Cisco Systems                                                          1            0.13%
515    Defense Innovation Institute                                           1            0.13%
516    Télécom SudParis                                                       1            0.13%
517    Ruhr University Bochum                                                 1            0.13%
518    ENN Group                                                              1            0.13%
519    GIPSA Laboratory                                                       1            0.13%
520    Criteo                                                                 1            0.13%
521    Monash University Malaysia                                             1            0.13%
522    Jiangnan University                                                    1            0.13%
523    Shanghai United Imaging Intelligence Co., Ltd.                         1            0.13%
524    Shanghai Clinical Research and Trial Center                            1            0.13%
525    Shanghai Education Commission                                          1            0.13%
526    Ministry of Agriculture and Rural Affairs                              1            0.13%
527    Cambricon Technologies                                                 1            0.13%
528    Shanghai Innovation Center for Processor Technologies                  1            0.13%
529    Ludwig Maximilian University of Munich                                 1            0.13%
530    Waseda University                                                      1            0.13%
531    University of California, San Diego                                    1            0.13%
532    Polixir Technologies                                                   1            0.13%
533    Centre National de la Recherche Scientifique                           1            0.13%
534    IN2P3                                                                  1            0.13%
535    Technical University of Denmark                                        1            0.13%
536    Taiyuan University of Science and Technology                           1            0.13%
537    Meta                                                                   1            0.13%
538    Qingdao University                                                     1            0.13%
539    University of Kentucky                                                 1            0.13%
540    Thales Research and Technology                                         1            0.13%
541    SINCLAIR                                                               1            0.13%
542    Université Paris-Saclay                                                1            0.13%
543    KTH Royal Institute of Technology                                      1            0.13%
544    Lanzhou University of Technology                                       1            0.13%
545    University of Catania                                                  1            0.13%
546    Queen Mary University of London                                        1            0.13%
547    Hubei University                                                       1            0.13%
548    Hainan University                                                      1            0.13%
549    University of Minnesota                                                1            0.13%
550    King’s College London                                                  1            0.13%
551    University of Iowa                                                     1            0.13%
552    National Innovation Center for UHD Video Technology                    1            0.13%
553    Universite Grenoble Alpes                                              1            0.13%
554    University of Chinese Academy of Science                               1            0.13%
555    SAP SE                                                                 1            0.13%
556    University of Rostock                                                  1            0.13%
557    Bilibili Inc.                                                          1            0.13%
558    POSTECH                                                                1            0.13%
559    University of Newcastle                                                1            0.13%
560    Argonne National Laboratory                                            1            0.13%
561    University of Bisha                                                    1            0.13%
562    International Joint Conference on Arti?cial Intelligence               1            0.13%
563    EPFL                                                                   1            0.13%
564    NEC Laboratories Europe                                                1            0.13%
565    Cornell University                                                     1            0.13%
566    CyberAgent                                                             1            0.13%
567    Seoul National University of Science and Technology                    1            0.13%
568    SqueezeBits Inc.                                                       1            0.13%
569    Rheinland-Pfalz Technical University                                   1            0.13%
570    Lica World                                                             1            0.13%
571    JD.com, Inc.                                                           1            0.13%
572    University of Arkansas                                                 1            0.13%
573    NEC Corporation                                                        1            0.13%
574    Intent Exchange, Inc.                                                  1            0.13%
575    State Key Laboratory of Resources and Environmental Information System 1            0.13%
576    Czech Technical University in Prague                                   1            0.13%
577    Nanjing Audit University                                               1            0.13%
578    Ningbo University                                                      1            0.13%
579    Shenzhen MSU-BIT University                                            1            0.13%
580    Great Bay University                                                   1            0.13%
581    Technische Universität Darmstadt                                       1            0.13%
582    Southwest University                                                   1            0.13%
583    University of Maryland, College Park                                   1            0.13%
584    Guangdong Province Key Laboratory of Computational Science             1            0.13%
585    OPPO Research Institute                                                1            0.13%
586    Laoshan Laboratory                                                     1            0.13%
587    ISP RAS Research Center for Trusted Artificial Intelligence            1            0.13%
588    Army Engineering University of PLA                                     1            0.13%
589    Academy of Military Science                                            1            0.13%
590    University of California, Los Angeles                                  1            0.13%
591    Anker Innovations                                                      1            0.13%
592    Key Laboratory of Advanced Theory and Application in Statistics and Data Science 1            0.13%
593    University Hospital Jena                                               1            0.13%
594    Dalian University                                                      1            0.13%
595    Guangxi Key Lab of Multi-source Information Mining & Security          1            0.13%
596    Shandong Technology and Business University                            1            0.13%
597    Ludong University                                                      1            0.13%
598    Shandong Future Intelligent Financial Engineering Laboratory           1            0.13%
599    Intelligent Science & Technology Academy of CASIC                      1            0.13%
600    Chengdu Medical College                                                1            0.13%
601    Osaka University                                                       1            0.13%
602    Beijing Key Laboratory of Advanced Information Science and Network Technology 1            0.13%
603    University of Notre Dame                                               1            0.13%
