====================================================================================================
NeurIPS 2025 论文机构统计（所有机构，按出现次数降序）
====================================================================================================

总论文数: 5522
总机构数: 2186

排名     机构名称                                                                   论文数        占比        
219    Aarhus University                                                      12           0.22%
220    Chongqing University                                                   12           0.22%
221    University of Tübingen                                                 12           0.22%
222    Xiaohongshu                                                            12           0.22%
223    State University of New York at Stony Brook                            12           0.22%
224    Indian Institute of Technology Bombay                                  12           0.22%
225    Salesforce                                                             12           0.22%
226    University of North Carolina at Chapel Hill                            12           0.22%
227    Genentech                                                              12           0.22%
228    University of Copenhagen                                               12           0.22%
229    Télécom Paris                                                          12           0.22%
230    Shanghai Innovation Institute                                          11           0.20%
231    vivo                                                                   11           0.20%
232    Shanxi University                                                      11           0.20%
233    Megvii Technology                                                      11           0.20%
234    Shanghai AI Lab                                                        11           0.20%
235    Technische Universität Darmstadt                                       11           0.20%
236    Tokyo Institute of Technology                                          11           0.20%
237    University of Pittsburgh                                               11           0.20%
238    Institute of Science and Technology Austria                            11           0.20%
239    University of Rochester                                                11           0.20%
240    Ecole Nationale de la Statistique et de l'Administration Economique    11           0.20%
241    Xi'an University of Electronic Science and Technology                  11           0.20%
242    University of Macau                                                    11           0.20%
243    Beijing Normal University                                              11           0.20%
244    Anhui University                                                       11           0.20%
245    German Research Center for Artificial Intelligence                     11           0.20%
246    Max-Planck Institute                                                   11           0.20%
247    Commonwealth Scientific and Industrial Research Organisation           11           0.20%
248    University of Liverpool                                                11           0.20%
249    Guangdong University of Technology                                     11           0.20%
250    LG                                                                     11           0.20%
251    Beijing Institute for General Artificial Intelligence                  10           0.18%
252    StepFun                                                                10           0.18%
253    Katholieke Universiteit Leuven                                         10           0.18%
254    Ecole Normale Supérieure de Paris                                      10           0.18%
255    Shanghai University                                                    10           0.18%
256    University of Notre Dame                                               10           0.18%
257    Xiaomi Corporation                                                     10           0.18%
258    University of Illinois                                                 10           0.18%
259    South China Normal University                                          10           0.18%
260    Weizmann Institute of Science                                          10           0.18%
261    Soochow University                                                     10           0.18%
262    Institute of Science, Tokyo                                            10           0.18%
263    Aalto University                                                       10           0.18%
264    New Jersey Institute of Technology                                     10           0.18%
265    University of Tuebingen                                                10           0.18%
266    Ludwig Maximilian University of Munich                                 10           0.18%
267    Leiden University                                                      10           0.18%
268    Sharif University of Technology                                        10           0.18%
269    Macquarie University                                                   10           0.18%
270    Chalmers University of Technology                                      10           0.18%
271    Rochester Institute of Technology                                      9            0.16%
272    Ben Gurion University of the Negev                                     9            0.16%
273    Higher School of Economics                                             9            0.16%
274    Delft University of Technology                                         9            0.16%
275    Simon Fraser University                                                9            0.16%
276    Robert Bosch GmbH                                                      9            0.16%
277    Osaka University                                                       9            0.16%
278    Hefei University of Technology                                         9            0.16%
279    DeepMind                                                               9            0.16%
280    University of Rome La Sapienza                                         9            0.16%
281    Oracle Corporation                                                     9            0.16%
282    Saarland University                                                    9            0.16%
283    CNRS                                                                   9            0.16%
284    Institute of Science and Technology                                    9            0.16%
285    University of Zurich                                                   9            0.16%
286    International Business Machines                                        9            0.16%
287    Beijing University of Technology                                       9            0.16%
288    Technical University of Denmark                                        9            0.16%
289    Karlsruhe Institute of Technology                                      9            0.16%
290    Aithyra                                                                9            0.16%
291    East China University of Science and Technology                        9            0.16%
292    ServiceNow                                                             9            0.16%
293    University of Science and Technology Beijing                           9            0.16%
294    Bar-Ilan University                                                    9            0.16%
295    University of Texas at Dallas                                          9            0.16%
296    University of Bologna                                                  9            0.16%
297    Sea AI Lab                                                             8            0.14%
298    NEC Corporation                                                        8            0.14%
299    Ben-Gurion University of the Negev                                     8            0.14%
300    Dalian Maritime University                                             8            0.14%
301    Case Western Reserve University                                        8            0.14%
302    State University of New York at Buffalo                                8            0.14%
303    National Technical University of Athens                                8            0.14%
304    Hunan University                                                       8            0.14%
305    Hebrew University of Jerusalem                                         8            0.14%
306    Lawrence Livermore National Laboratory                                 8            0.14%
307    Universitat Pompeu Fabra                                               8            0.14%
308    Indian Institute of Science                                            8            0.14%
309    Florida State University                                               8            0.14%
310    Ecole Nationale des Ponts et Chaussees                                 8            0.14%
311    Wuhan University of Technology                                         8            0.14%
312    Johannes Kepler University Linz                                        8            0.14%
313    Johannes Kepler University                                             8            0.14%
314    University of Helsinki                                                 8            0.14%
315    University of Milan                                                    8            0.14%
316    George Washington University                                           8            0.14%
317    University of Maryland, College Park                                   8            0.14%
318    Netflix                                                                8            0.14%
319    Albert-Ludwigs-Universität Freiburg                                    7            0.13%
320    Athena Research and Innovation Centre                                  7            0.13%
321    Hangzhou Dianzi University                                             7            0.13%
322    RWTH Aachen University                                                 7            0.13%
323    Forschungszentrum Juelich                                              7            0.13%
324    CyberAgent                                                             7            0.13%
325    Xi'an Jiao Tong-Liverpool University                                   7            0.13%
326    Technische Universität Wien                                            7            0.13%
327    Oregon State University                                                7            0.13%
328    CSIRO                                                                  7            0.13%
329    University of Birmingham                                               7            0.13%
330    Guangzhou University                                                   7            0.13%
331    Max Planck Institute for Software Systems                              7            0.13%
332    Shenzhen Technology University                                         7            0.13%
333    Ant Research                                                           7            0.13%
334    Southwest Jiao Tong University                                         7            0.13%
335    Kookmin University                                                     7            0.13%
336    Mila                                                                   7            0.13%
337    Indian Institute of Technology Delhi                                   7            0.13%
338    North Carolina State University                                        7            0.13%
339    University of Exeter                                                   7            0.13%
340    A*STAR                                                                 7            0.13%
341    China University of Petroleum                                          7            0.13%
342    Quebec AI Institute                                                    7            0.13%
343    Fondazione Bruno Kessler                                               7            0.13%
344    Nanjing University of Information Science and Technology               7            0.13%
345    LinkedIn Corporation                                                   7            0.13%
346    University of Warsaw                                                   7            0.13%
347    Université du Québec                                                   7            0.13%
348    JD.com                                                                 7            0.13%
349    University of Western Ontario                                          7            0.13%
350    Toyota Motor Corporation                                               7            0.13%
351    Physical Intelligence                                                  6            0.11%
352    University of Bern                                                     6            0.11%
353    University of Stuttgart                                                6            0.11%
354    Zhejiang Lab                                                           6            0.11%
355    Polytechnic Institute of Turin                                         6            0.11%
356    Hanoi University of Science and Technology                             6            0.11%
357    Communication University of China                                      6            0.11%
358    Université Paris-Saclay                                                6            0.11%
359    Institute of Statistical Mathematics                                   6            0.11%
360    NTT Corporation                                                        6            0.11%
361    Université Pierre et Marie Curie - Paris 6                             6            0.11%
362    Indiana University                                                     6            0.11%
363    University of Iowa                                                     6            0.11%
364    VinUniversity                                                          6            0.11%
365    Kyung Hee University                                                   6            0.11%
366    Zuse Institute Berlin                                                  6            0.11%
367    Shenzhen Research Institute of Big Data                                6            0.11%
368    Zhejiang Normal University                                             6            0.11%
369    University of Georgia                                                  6            0.11%
370    University of Pisa                                                     6            0.11%
371    Nanjing University of Posts and Telecommunications                     6            0.11%
372    University of York                                                     6            0.11%
373    Mohamed bin Zayed Univeristy of AI                                     6            0.11%
374    Simons Foundation                                                      6            0.11%
375    Academia Sinica                                                        6            0.11%
376    Indian Institute of Technology Kanpur                                  6            0.11%
377    Gwangju Institute of Science and Technology                            6            0.11%
378    University of Colorado                                                 6            0.11%
379    Independent Researcher                                                 6            0.11%
380    ENSAE ParisTech                                                        6            0.11%
381    Ruhr-Universität Bochum                                                6            0.11%
382    Lehigh University                                                      6            0.11%
383    Technical University Munich                                            6            0.11%
384    Dartmouth College                                                      6            0.11%
385    University of California, Riverside                                    6            0.11%
386    Shenzhen University of Advanced Technology                             6            0.11%
387    Dolby Laboratories                                                     6            0.11%
388    National Yang Ming Chiao Tung University                               6            0.11%
389    OPPO Mobile Telecommunications Corp.,Ltd.                              5            0.09%
390    ELLIS Institute Tübingen                                               5            0.09%
391    Moonshot AI                                                            5            0.09%
392    Ruprecht-Karls-Universität Heidelberg                                  5            0.09%
393    Zhongguancun Academy                                                   5            0.09%
394    University of Texas at Arlington                                       5            0.09%
395    University of Groningen                                                5            0.09%
396    Zhengzhou University                                                   5            0.09%
397    University of Freiburg                                                 5            0.09%
398    Prior Labs                                                             5            0.09%
399    Università degli Studi di Genova                                       5            0.09%
400    National Institute of Advanced Industrial Science and Technology       5            0.09%
401    Horizon Robotics                                                       5            0.09%
402    Lanzhou University                                                     5            0.09%
403    Tulane University                                                      5            0.09%
404    University of Bath                                                     5            0.09%
405    Illinois Institute of Technology                                       5            0.09%
406    Snowflake Inc.                                                         5            0.09%
407    Ecole Normale Superieure                                               5            0.09%
408    Bocconi University                                                     5            0.09%
409    Great Bay University                                                   5            0.09%
410    Royal Melbourne Institute of Technology                                5            0.09%
411    Siemens AG                                                             5            0.09%
412    Databricks                                                             5            0.09%
413    Stability AI                                                           5            0.09%
414    Nanjing Forestry University                                            5            0.09%
415    Fraunhofer Heinrich Hertz Institute                                    5            0.09%
416    Institute for Computer Science, Artificial Intelligence and Technology 5            0.09%
417    Li Auto Inc.                                                           5            0.09%
418    Chongqing University of Post and Telecommunications                    5            0.09%
419    Czech Technical University                                             5            0.09%
420    Shenzhen MSU-BIT University                                            5            0.09%
421    The Hessian Center for AI                                              5            0.09%
422    Houmo AI                                                               5            0.09%
423    Beijing Technology and Business University                             5            0.09%
424    ML Alignment & Theory Scholars                                         5            0.09%
425    University of Haifa                                                    5            0.09%
426    University of Twente                                                   5            0.09%
427    Army Research Laboratory                                               5            0.09%
428    Polytechnique Montreal                                                 5            0.09%
429    Universität des Saarlandes                                             5            0.09%
430    Freie Universität Berlin                                               5            0.09%
431    Vrije Universiteit Amsterdam                                           5            0.09%
432    Idiap Research Institute                                               5            0.09%
433    Wayne State University                                                 5            0.09%
434    Joy Future Academy                                                     5            0.09%
435    Yunnan University                                                      5            0.09%
436    Ulsan National Institute of Science and Technology                     5            0.09%
437    Insta360                                                               5            0.09%
438    Jagiellonian University                                                5            0.09%
439    Brookhaven National Laboratory                                         5            0.09%
440    Dongguk University                                                     5            0.09%
441    Hangzhou City University                                               5            0.09%
442    Southwest University                                                   5            0.09%
443    Queen Mary, University of London                                       5            0.09%
444    Mayo Clinic                                                            5            0.09%
445    École de technologie supérieure                                        5            0.09%
446    Sony                                                                   5            0.09%
447    London School of Economics                                             5            0.09%
448    Shanghai Innovation Institution                                        5            0.09%
449    Université Paris Dauphine                                              5            0.09%
450    Cisco Systems                                                          5            0.09%
451    Radboud University                                                     5            0.09%
452    Donghua University                                                     5            0.09%
453    University of Glasgow                                                  5            0.09%
454    University of Connecticut                                              5            0.09%
455    Southwest University of Finance and Economics                          5            0.09%
456    NEC Laboratories                                                       5            0.09%
457    Georg-August Universität Göttingen                                     5            0.09%
458    Carleton University                                                    4            0.07%
459    Heidelberg University                                                  4            0.07%
460    LY Corporation                                                         4            0.07%
461    GE Healthcare                                                          4            0.07%
462    KRAFTON Inc.                                                           4            0.07%
